comuna,comuna_nombre,service_key,operator,network_role,record_count_intersecting,status
5301,Los Andes,claro_redacceso,Claro,RedAcceso,381,ok
5301,Los Andes,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,251,ok
5301,Los Andes,entel_redacceso_primarias,Entel,RedAcceso_primarias,19,ok
5301,Los Andes,infraco_redacceso,Infraco,RedAcceso,2286,ok
5301,Los Andes,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,20,ok
5302,Calle Larga,claro_redacceso_hfc,Claro,RedAcceso_HFC,46,ok
5302,Calle Larga,claro_redacceso,Claro,RedAcceso,21,ok
5302,Calle Larga,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,2,ok
5302,Calle Larga,entel_redacceso_primarias,Entel,RedAcceso_primarias,4,ok
5302,Calle Larga,infraco_redacceso,Infraco,RedAcceso,37,ok
5302,Calle Larga,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,6,ok
5303,Rinconada,claro_redacceso_hfc,Claro,RedAcceso_HFC,35,ok
5303,Rinconada,claro_redacceso,Claro,RedAcceso,17,ok
5303,Rinconada,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,1,ok
5303,Rinconada,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
5303,Rinconada,infraco_redacceso,Infraco,RedAcceso,312,ok
5303,Rinconada,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,12,ok
5304,San Esteban,claro_redacceso_hfc,Claro,RedAcceso_HFC,63,ok
5304,San Esteban,claro_redacceso,Claro,RedAcceso,25,ok
5304,San Esteban,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
5304,San Esteban,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
5304,San Esteban,infraco_redacceso,Infraco,RedAcceso,0,ok
5304,San Esteban,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,12,ok
5401,La Ligua,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5401,La Ligua,claro_redacceso,Claro,RedAcceso,576,ok
5401,La Ligua,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,104,ok
5401,La Ligua,entel_redacceso_primarias,Entel,RedAcceso_primarias,2,ok
5401,La Ligua,infraco_redacceso,Infraco,RedAcceso,867,ok
5401,La Ligua,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,254,ok
5402,Cabildo,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5402,Cabildo,claro_redacceso,Claro,RedAcceso,2,ok
5402,Cabildo,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,40,ok
5402,Cabildo,entel_redacceso_primarias,Entel,RedAcceso_primarias,3,ok
5402,Cabildo,infraco_redacceso,Infraco,RedAcceso,0,ok
5402,Cabildo,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,126,ok
5403,Papudo,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5403,Papudo,claro_redacceso,Claro,RedAcceso,0,ok
5403,Papudo,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,7,ok
5403,Papudo,entel_redacceso_primarias,Entel,RedAcceso_primarias,2,ok
5403,Papudo,infraco_redacceso,Infraco,RedAcceso,365,ok
5403,Papudo,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
5404,Petorca,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5404,Petorca,claro_redacceso,Claro,RedAcceso,2,ok
5404,Petorca,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,13,ok
5404,Petorca,entel_redacceso_primarias,Entel,RedAcceso_primarias,5,ok
5404,Petorca,infraco_redacceso,Infraco,RedAcceso,0,ok
5404,Petorca,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
5405,Zapallar,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
5405,Zapallar,claro_redacceso,Claro,RedAcceso,0,ok
5405,Zapallar,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,10,ok
5405,Zapallar,entel_redacceso_primarias,Entel,RedAcceso_primarias,1,ok
