period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2016-10,2016,10,fixed_connections,fixed_connections_total,2903487,connections,7.1.CO_TOT_FIJAS,117
2016-10,2016,10,fixed_connections,penetration_per_100_inhabitants,15.885453,per_100_inhabitants,7.1.CO_TOT_FIJAS,117
2016-11,2016,11,fixed_connections,fixed_connections_total,2913091,connections,7.1.CO_TOT_FIJAS,118
2016-11,2016,11,fixed_connections,penetration_per_100_inhabitants,15.919123,per_100_inhabitants,7.1.CO_TOT_FIJAS,118
2016-12,2016,12,fixed_connections,fixed_connections_total,2912133,connections,7.1.CO_TOT_FIJAS,119
2016-12,2016,12,fixed_connections,penetration_per_100_inhabitants,15.895064,per_100_inhabitants,7.1.CO_TOT_FIJAS,119
2017-01,2017,1,fixed_connections,fixed_connections_total,2911642,connections,7.1.CO_TOT_FIJAS,120
2017-01,2017,1,fixed_connections,penetration_per_100_inhabitants,15.872236,per_100_inhabitants,7.1.CO_TOT_FIJAS,120
2017-02,2017,2,fixed_connections,fixed_connections_total,2929146,connections,7.1.CO_TOT_FIJAS,121
2017-02,2017,2,fixed_connections,penetration_per_100_inhabitants,15.947438,per_100_inhabitants,7.1.CO_TOT_FIJAS,121
2017-03,2017,3,fixed_connections,fixed_connections_total,2950873,connections,7.1.CO_TOT_FIJAS,122
2017-03,2017,3,fixed_connections,penetration_per_100_inhabitants,16.045412,per_100_inhabitants,7.1.CO_TOT_FIJAS,122
2017-04,2017,4,fixed_connections,fixed_connections_total,2974123,connections,7.1.CO_TOT_FIJAS,123
2017-04,2017,4,fixed_connections,penetration_per_100_inhabitants,16.151409,per_100_inhabitants,7.1.CO_TOT_FIJAS,123
2017-05,2017,5,fixed_connections,fixed_connections_total,3005028,connections,7.1.CO_TOT_FIJAS,124
2017-05,2017,5,fixed_connections,penetration_per_100_inhabitants,16.298659,per_100_inhabitants,7.1.CO_TOT_FIJAS,124
2017-06,2017,6,fixed_connections,fixed_connections_total,3014054,connections,7.1.CO_TOT_FIJAS,125
2017-06,2017,6,fixed_connections,penetration_per_100_inhabitants,16.327019,per_100_inhabitants,7.1.CO_TOT_FIJAS,125
2017-07,2017,7,fixed_connections,fixed_connections_total,3029340,connections,7.1.CO_TOT_FIJAS,126
2017-07,2017,7,fixed_connections,penetration_per_100_inhabitants,16.389175,per_100_inhabitants,7.1.CO_TOT_FIJAS,126
2017-08,2017,8,fixed_connections,fixed_connections_total,3049046,connections,7.1.CO_TOT_FIJAS,127
2017-08,2017,8,fixed_connections,penetration_per_100_inhabitants,16.475058,per_100_inhabitants,7.1.CO_TOT_FIJAS,127
