region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa
5,Valparaíso,55,Quillota,5502,Calera,17536,17369,1455,8.377,4775,27.4915,16992,96.8978,7987,45.5463,10922,62.2833,14378,81.9913,729,4.1572,16739,95.4551,797,4.5449,5.052,0.3172,37.1721,20.713,3.4043,16.7977,40.0999,34.87,28.3885,52.15,6.0107,Centro
5,Valparaíso,55,Quillota,5503,Hijuelas,6682,6619,645,9.7447,3378,51.0349,6524,97.6354,2753,41.2002,2522,37.7432,5781,86.516,260,3.8911,4711,70.5028,1971,29.4972,6.3055,0.2908,32.1856,11.8862,3.3383,14.9701,42.0958,31.003,25.4341,46.2575,5.2844,Centro
5,Valparaíso,55,Quillota,5504,La Cruz,8582,8567,397,4.6341,1631,19.0382,8496,98.9979,5553,64.7052,6368,74.2018,7709,89.8275,619,7.2128,7450,86.8096,1132,13.1904,3.8967,0.1658,31.9231,19.3357,2.1096,16.0839,45.676,26.6084,21.3054,47.4476,4.1958,Centro
5,Valparaíso,55,Quillota,5506,Nogales,7534,7486,784,10.4729,2878,38.4451,7389,98.0754,3119,41.399,3701,49.124,6393,84.8553,393,5.2164,6138,81.4707,1396,18.5293,5.6244,0.3268,33.5947,14.0199,2.3123,14.99,39.9203,36.7708,28.6512,47.6279,6.5914,Centro
5,Valparaíso,56,San Antonio,5601,San Antonio,34941,34673,2567,7.4035,11736,33.8477,33990,97.2783,15391,44.0485,19851,56.8129,29851,85.4326,1737,4.9712,33050,94.588,1891,5.412,5.9072,0.5916,32.9678,16.1327,5.5436,17.497,39.1676,32.0237,28.6676,54.4426,5.4716,Centro
5,Valparaíso,56,San Antonio,5602,Algarrobo,6448,6404,292,4.5597,2631,41.0837,6348,98.4491,3636,56.3896,3308,51.3027,5802,89.9814,458,7.103,4493,69.6805,1955,30.3195,3.8529,0.3171,35.1944,18.196,1.4774,11.4152,28.818,44.4168,21.5552,49.1913,4.7434,Centro
5,Valparaíso,56,San Antonio,5603,Cartagena,9318,9228,977,10.5873,3938,42.6745,9052,97.1453,3156,33.8699,4183,44.8916,7752,83.1938,518,5.5591,8518,91.4145,800,8.5855,6.5565,0.5325,38.049,14.557,7.5429,13.4348,34.5096,40.5849,32.5672,52.606,5.9998,Centro
5,Valparaíso,56,San Antonio,5604,El Quisco,7727,7665,387,5.0489,3155,41.1611,7562,97.8646,3355,43.4192,3986,51.5854,6889,89.1549,457,5.9143,7043,91.1479,684,8.8521,4.5934,0.3872,41.567,21.1149,2.7937,12.2531,29.08,44.3217,25.4678,51.1305,4.5348,Centro
5,Valparaíso,56,San Antonio,5605,El Tabo,6787,6714,422,6.2854,3202,47.6914,6673,98.3203,2725,40.1503,2990,44.0548,6017,88.6548,375,5.5253,6492,95.6535,295,4.3465,4.6361,0.4681,33.4959,14.2942,3.1633,10.643,26.0458,46.8884,28.8396,51.2639,4.5528,Centro
5,Valparaíso,56,San Antonio,5606,Santo Domingo,4663,4641,322,6.9382,1713,36.9101,4583,98.2844,2654,56.9161,2445,52.4341,3957,84.8595,311,6.6695,2406,51.5977,2257,48.4023,3.4438,0.2833,28.1699,12.3579,1.1585,11.0277,38.1892,36.9663,18.6012,39.7983,4.9131,Centro
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,29681,29457,2142,7.2716,9185,31.181,28956,97.5574,14623,49.2672,17733,59.7453,25432,85.6844,1497,5.0436,25935,87.3791,3746,12.6209,5.379,0.3133,40.237,28.5743,2.3806,16.2817,39.0349,28.6048,24.6969,50.8026,4.9543,Centro
