"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100333020320221",-70.1285,-20.2545,131.095,20.971,34,1661,1258,7,6
"2100333020320223",-70.1285,-20.2596,116.199,12.645,56,1339,382,3,3
"2100333020320230",-70.123,-20.2545,454.426,48.713,39,885,228,1,1
"2100333020320232",-70.123,-20.2596,13.44,12.38,59,2680,1219,5,4
"2100333020320310",-70.101,-20.2442,52.203,11.357,49,1538,1131,15,3
"2100333020320311",-70.0955,-20.2442,63.029,16.797,56,1922,1699,57,10
"2100333020320312",-70.101,-20.249299999999998,50.147,24.348,37,963,427,5,1
"2100333020320313",-70.0955,-20.249299999999998,107.625,4.121,59,1375,3440,6,1
"2100333020320321",-70.1065,-20.2545,66.408,18.329,43,1862,932,9,4
"2100333020320331",-70.0955,-20.2545,41.577,1.39,58,863,3559,4,2
"2100333020320332",-70.101,-20.2596,118.129,35.31,39,1832,1164,3,3
"2100333020320333",-70.0955,-20.2596,53.816,11.214,50,1383,1760,7,4
"2100333020321202",-70.09,-20.249299999999998,325.079,83.894,37,1300,296,1,1
"2100333020321203",-70.0845,-20.249299999999998,34.825,17.298,60,488,2467,3,3
"2100333020321212",-70.079,-20.249299999999998,40.783,2.758,39,411,498,1,1
"2100333020321220",-70.09,-20.2545,92.931,17.419,53,955,736,2,2
"2100333020321222",-70.09,-20.2596,39.14,2.318,41,1626,1987,1,1
"2100333020321223",-70.0845,-20.2596,134.461,19.143,37,583,606,7,1
"2100333020321232",-70.079,-20.2596,73.703,8.051,42,512,865,1,1
"2100333020321233",-70.0735,-20.2596,21.493,0.009,63,1117,3164,1,1
"2100333020322001",-70.1285,-20.2648,25.962,6.753,69,2404,2341,3,2
"2100333020322003",-70.1285,-20.2699,88.397,20.841,52,2757,727,14,7
"2100333020322010",-70.123,-20.2648,194.019,41.422,45,978,1003,4,3
"2100333020322012",-70.123,-20.2699,41.406,15.039,49,1610,1286,8,8
"2100333020322023",-70.1285,-20.2802,81.754,11.882,54,1527,2073,8,3
"2100333020322101",-70.1065,-20.2648,30.227,13.07,39,1286,1919,15,10
"2100333020322102",-70.112,-20.2699,338.247,51.787,19,377,171,1,1
"2100333020322103",-70.1065,-20.2699,73.491,24.83,34,2174,1085,39,10
"2100333020322110",-70.101,-20.2648,61.432,14.704,44,1974,985,19,10
"2100333020322111",-70.0955,-20.2648,125.07,34.544,46,1928,1119,12,8
"2100333020322112",-70.101,-20.2699,11.045,16.481,53,3327,872,9,4
"2100333020322113",-70.0955,-20.2699,121.875,18.194,30,1193,430,5,4
"2100333020322121",-70.1065,-20.2751,25.158,11.481,57,1252,1262,5,5
"2100333020322123",-70.1065,-20.2802,31.707,14.853,51,906,572,32,3
