"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100333020320222",-70.13399999999999,-20.2596,498.075,388.507,16,229,232,80,29
"2100333020320223",-70.1285,-20.2596,471.911,382.846,21,264,127,121,48
"2100333020320230",-70.123,-20.2545,454.085,396.701,24,374,307,30,10
"2100333020320232",-70.123,-20.2596,492.996,396.071,18,219,65,30,15
"2100333020320303",-70.1065,-20.249299999999998,503.207,423.24,17,383,59,20,14
"2100333020320310",-70.101,-20.2442,543.623,421.854,32,253,148,5,4
"2100333020320311",-70.0955,-20.2442,410.527,346.656,18,380,199,89,27
"2100333020320312",-70.101,-20.249299999999998,375.944,301.36,19,483,594,38,19
"2100333020320313",-70.0955,-20.249299999999998,154.198,17.646,20,274,183,61,3
"2100333020320320",-70.112,-20.2545,491.945,271.13,28,268,50,1,1
"2100333020320321",-70.1065,-20.2545,524.625,453.205,19,323,174,45,19
"2100333020320323",-70.1065,-20.2596,502.35,421.513,39,358,148,17,6
"2100333020320330",-70.101,-20.2545,481.911,345.533,21,423,76,4,4
"2100333020320331",-70.0955,-20.2545,12.302,8.056,69,240,2357,5,3
"2100333020320332",-70.101,-20.2596,554.934,415.439,24,202,208,52,13
"2100333020320333",-70.0955,-20.2596,311.084,226.736,23,506,753,26,16
"2100333020321133",-70.05160000000001,-20.239,24.108,24.457,33,346,535,24,4
"2100333020321200",-70.09,-20.2442,142.899,167.829,3,173,31,1,1
"2100333020321220",-70.09,-20.2545,18.738,15.305,23,307,523,8,2
"2100333020321221",-70.0845,-20.2545,14.808,16.737,26,330,638,2,2
"2100333020321223",-70.0845,-20.2596,21.491,20.469,33,322,167,2,1
"2100333020321310",-70.05710000000002,-20.2442,18.073,26.224,20,209,1142,2,2
"2100333020321322",-70.0681,-20.2596,264.652,276.745,46,448,132,1,1
"2100333020322001",-70.1285,-20.2648,443.59,360.279,20,303,289,131,50
"2100333020322003",-70.1285,-20.2699,436.041,407.196,20,213,213,156,49
"2100333020322010",-70.123,-20.2648,486.018,405.894,20,294,110,93,39
"2100333020322012",-70.123,-20.2699,433.039,352.805,21,296,154,48,24
"2100333020322021",-70.1285,-20.2751,478.952,411.282,20,227,211,97,31
"2100333020322023",-70.1285,-20.2802,517.708,469.931,14,235,98,60,19
"2100333020322030",-70.123,-20.2751,470.054,366.54,21,524,279,62,24
"2100333020322032",-70.123,-20.2802,533.008,363.602,23,262,219,67,23
"2100333020322100",-70.112,-20.2648,326.617,340.509,25,284,94,1,1
"2100333020322101",-70.1065,-20.2648,431.341,310.929,32,277,164,86,29
"2100333020322102",-70.112,-20.2699,357.047,340.786,18,278,159,9,6
"2100333020322103",-70.1065,-20.2699,460.416,387.461,26,354,158,99,39
"2100333020322110",-70.101,-20.2648,360.609,246.84,32,399,414,125,30
"2100333020322111",-70.0955,-20.2648,570.659,267.675,45,359,105,5,4
"2100333020322112",-70.101,-20.2699,451.019,309.834,31,297,139,70,27
"2100333020322113",-70.0955,-20.2699,463.102,283.695,36,265,194,26,12
"2100333020322120",-70.112,-20.2751,666.269,466.493,28,216,68,1,1
"2100333020322121",-70.1065,-20.2751,371.344,306.235,21,593,306,176,39
"2100333020322123",-70.1065,-20.2802,375.813,312.16,32,645,448,63,24
"2100333020322130",-70.101,-20.2751,387.238,303.022,19,358,180,141,47
"2100333020322131",-70.0955,-20.2751,389.402,295.992,31,336,263,39,18
"2100333020322132",-70.101,-20.2802,357.117,301.229,17,279,191,82,17
"2100333020322133",-70.0955,-20.2802,484.889,394.655,20,247,135,131,45
"2100333020322201",-70.1285,-20.285400000000003,485.694,254.764,30,230,192,19,9
"2100333020322203",-70.1285,-20.2905,442.988,373.275,39,238,123,28,11
"2100333020322210",-70.123,-20.285400000000003,622.697,603.665,26,115,45,2,2
"2100333020322212",-70.123,-20.2905,498.533,277.093,12,251,619,22,3
"2100333020322213",-70.11749999999999,-20.2905,32.417,9.001,58,126,111,1,1
"2100333020322230",-70.123,-20.295700000000004,598.25,372.619,18,167,160,9,4
"2100333020322233",-70.11749999999999,-20.3008,308.995,314.342,16,182,197,7,2
"2100333020322301",-70.1065,-20.285400000000003,445.717,373.722,11,509,531,9,8
"2100333020322303",-70.1065,-20.2905,520.513,388.642,30,328,192,54,32
"2100333020322310",-70.101,-20.285400000000003,415.243,352.518,17,526,179,59,24
"2100333020322311",-70.0955,-20.285400000000003,478.806,363.22,23,249,234,69,26
"2100333020322312",-70.101,-20.2905,381.688,319.884,24,436,412,88,24
"2100333020322313",-70.0955,-20.2905,408.129,320.784,18,334,220,114,26
"2100333020322320",-70.112,-20.295700000000004,535.687,385.619,20,204,130,17,9
"2100333020322321",-70.1065,-20.295700000000004,460.126,329.462,27,372,385,191,39
"2100333020322322",-70.112,-20.3008,461.436,383.876,14,315,328,90,28
"2100333020322323",-70.1065,-20.3008,381.576,388.96,13,283,254,69,19
"2100333020322330",-70.101,-20.295700000000004,473.215,365.725,18,398,166,63,32
"2100333020322331",-70.0955,-20.295700000000004,429.001,346.57,24,410,116,31,20
"2100333020322332",-70.101,-20.3008,172.246,152.027,44,1063,550,29,10
"2100333020322333",-70.0955,-20.3008,119.497,121.499,24,512,342,10,6
"2100333020323001",-70.0845,-20.2648,230.856,17.797,51,343,92,1,1
"2100333020323002",-70.09,-20.2699,66.433,80.69,56,664,144,9,3
"2100333020323003",-70.0845,-20.2699,16.187,9.145,4,540,4298,1,1
"2100333020323020",-70.09,-20.2751,481.88,386.314,14,254,105,53,20
"2100333020323021",-70.0845,-20.2751,452.92,326.395,15,230,311,10,8
"2100333020323022",-70.09,-20.2802,434.933,396.255,21,250,181,71,19
"2100333020323023",-70.0845,-20.2802,498.843,420.23,14,390,112,30,13
"2100333020323030",-70.079,-20.2751,432.209,334.766,21,553,115,20,12
"2100333020323032",-70.079,-20.2802,469.155,387.367,19,253,232,49,22
